model,cv_average_precision_mean,cv_average_precision_std,cv_roc_auc_mean
gradient_boosting,0.5837671605907825,0.01942119513894369,0.8001065086190167
random_forest,0.5489116591751241,0.012798152977636697,0.775215882016429
logistic_regression,0.4521800199078066,0.011019775503514694,0.7663405773357113
